sistema,tabela,sigla,rotulo
SIA,,BPA-C,Boletim de Produção Ambulatorial Consolidado
SIA,,BPA-I,Boletim de Produção Ambulatorial Individualizado
SIA,,APAC,Autorização de Procedimento Ambulatorial de Alta Complexidade (procedimento principal e secundário)
SIA,,RAAS-AD,Registro das Ações Ambulatoriais de Saúde - Atenção Domiciliar
SIA,,RAAS-PSI,Registro das Ações Ambulatoriais de Saúde - Psicossococial
SIA,PA,PA_DOCORIG|S,para o procedimento secundário.
SIA,PA,PA_DOCORIG|C,representa os dados dos procedimentos obtidos através de um BPA-Consolidado.
SIA,PA,PA_DOCORIG|A,representa os dados dos procedimentos obtidos através do RAAS-AD
SIA,PA,PA_DOCORIG|B,representa os dados dos procedimentos obtidos através do RAAS - Psicossocial
SIA,PA,PA_DOCORIG|I,através do BPA - Individualizado.
SIA,PA,PA_CODUNI,Código do SCNES do Estabelecimento de Saúde
SIA,PA,PA_GESTAO,"Unidade da Federação + Código do Município do Gestor, ou UF0000 se a Unidade está sob Gestão Estadual"
SIA,PA,PA_CONDIC,Sigla do Tipo de Gestão
SIA,PA,PA_UFMUN,Unidade da Federação + município onde está localizado o Estabelecimento
SIA,PA,PA_REGCT,Código da Regra Contratual
SIA,PA,PA_INCOUT,Incremento Outros
SIA,PA,PA_INCURG,Incremento Urgência
SIA,PA,PA_TPUPS,Tipo de do Estabelecimento.
SIA,PA,PA_TIPPRE,Tipo de Prestador
SIA,PA,PA_MN_IND,Estabelecimento Mantido / Individual
SIA,PA,PA_CNPJCPF,CNPJ do Estabelecimento executante
SIA,PA,PA_CNPJMNT,"CNPJ da Mantenedora do Estabelecimento ou zeros, caso não a tenha"
SIA,PA,PA_CNPJ_CC,"CNPJ do órgão que recebeu pela produção por cessão de crédito ou zeros, caso não a tenha "
SIA,PA,PA_MVM,Data de Processamento/Movimento (AAAAMM)
SIA,PA,PA_CMP,Data da realização do Procedimento / Competência (AAAAMM)
SIA,PA,PA_PROC_ID,Código de Procedimento Ambulatorial
SIA,PA,PA_TPFIN,Tipo de Financiamento da produção
SIA,PA,PA_SUBFIN,Subtipo de Financiamento da produção
SIA,PA,PA_NIVCPL,Complexidade do Procedimento.
SIA,PA,PA_DOCORIG,"Instrumento de Registro: B - BPA - Consolidado, I - BPA - Individualizado, P - APAC - Procedimento Principal, S- APAC – Procedimento Secundário"
SIA,PA,PA_AUTORIZ,"Número da APAC ou número de autorização do BPA-I, conforme o caso. No BPA-I não é obrigatório, portanto, não é criticado."
SIA,PA,PA_CNSMED,Número CNS do profissional de saúde executante
SIA,PA,PA_CBOCOD,Código de Ocupação Brasileira do Profissional
SIA,PA,PA_MOTSAI,"Motivo de Saída ou zeros, caso não tenha"
SIA,PA,PA_OBITO,Indicador de Óbito (APAC)
SIA,PA,PA_ENCERR,Indicador Encerramento (APAC)
SIA,PA,PA_PERMAN,Indicador Permanência (APAC)
SIA,PA,PA_ALTA,Indicador de Alta (APAC)
SIA,PA,PA_TRANSF,Indicar de Transferência (APAC)
SIA,PA,PA_CIDPRI,CID Principal (APAC ou BPA-I)
SIA,PA,PA_CIDSEC,CID Secundário (APAC)
SIA,PA,PA_CIDCAS,CID Causas Associadas (APAC)
SIA,PA,PA_CATEND,Caráter de Atendimento (APAC ou BPA-I)
SIA,PA,PA_IDADE,Idade do Paciente em anos
SIA,PA,PA_FLIDADE,"Compatibilidade com a faixa de idade do procedimento (SIGTAP): Idade não exigida => 0, Idade compatível com o SIGTAP => 1, Idade fora da faixa do SIGTAP => 2, Idade inexistente => 3, Idade EM BRANCO => 4"
SIA,PA,IDADEMIN,Idade mínima do paciente para realização do procedimento
SIA,PA,IDADEMAX,Idade máxima do paciente para realização do procedimento
SIA,PA,PA_SEXO,Sexo do Paciente
SIA,PA,PA_RACACOR,Raça/Cor do Paciente
SIA,PA,PA_MUNPCN,"Unidade da Federação + município do município de residência do paciente ou do estabelecimento, caso não se tenha à identificação do paciente o que ocorre no (BPA)"
SIA,PA,PA_QTDPRO,Quantidade Produzida (APRESENTADA)
SIA,PA,PA_QTDAPR,Quantidade aprovada do procedimento
SIA,PA,PA_VALPRO,Valor Produzido (APRESENTADO
SIA,PA,PA_VALAPR,Valor Aprovado do procedimento
SIA,PA,PA_UFDIF,"Indica se a UF de residência do paciente é diferente da UF de localização do estabelecimento (N=não, S=sim)"
SIA,PA,PA_MNDIF,"Indica se o município de residência do paciente é diferente do município de localização do estabelecimento (N=não, S=sim)"
SIA,PA,PA_DIF_VAL,Diferença do Valor Unitário do procedimento praticado na Tabela Unificada com Valor Unitário praticado pelo Gestor da Produção multiplicado pela Quantidade Aprovada.
SIA,PA,NU_VPA_TOT,Valor Unitário do Procedimento da Tabela VPA
SIA,PA,NU_PA_TOT,Valor Unitário do Procedimento da Tabela SIGTAP
SIA,PA,PA_INDICA,"Indicativo de situação da produção produzida: 0 = não aprovado, 5 = aprovado total 6 = aprovado parcial"
SIA,PA,PA_CODOCO,Código de Ocorrência
