no_atributo,ds_atributos_dbc,ds_atributo
nu_autorizacao,"aih, ap_autoriz, autoriz, n_aih, pa_autoriz, pa_numapa",Número da autorizada em cada sistema administrativo.
nu_cnspcn,"ap_cnspcn, cns_pac",Número do Cartão Nacional de Saúde (identificador criptografado do usuário do SUS)
co_evento,"ap_pripal, co_procede, pa_proc_id, proc_id, proc_rea, sp_procrea","Código do procedimento, medicamento, órteses, próteses e materiais especiais (OPM). A partir de 2008 passou a ser mantida pelo SIGTAP - Sistema de Gerenciamento da Tabela de Procedimentos, Medicamentos e OPM do SUS (http://sigtap.datasus.gov.br/)."
co_ibge_municipio_residencia,"ap_munpcn, codmunres, co_munres, munic_res, munpac, mun_res, pa_munpcn, ufmunres",Código ibge do município do usuário do SUS.
co_cep_residencia,"ap_ceppcn, cep",CEP de residência do usuário do SUS.
dt_procedimento,"ap_dtocor, dt_atend, inicio",Data do procedimento. Quando indisponível utilizar a competência.
sg_sexo,"ap_sexo, co_sexo, cs_sexo, pa_sexo, sexo, sexopac",Sexo do usuário do SUS.
nu_idade,"ap_nuidade, idade, idadepac, nu_idade_n, pa_idade",Idade do usuário do SUS na data do registro.
dt_nascimento,"data_nasc, dtnasc, nasc",Data de nascimento do usuário do SUS. Quando indisponível calcular a partir da idade na data do registro.
co_ibge_municipio_atendimento,"ap_ufmun, codufmun, id_municip, munic_mov, pa_ufmun, ufmun",Código IBGE do município de atendimento. Quando indisponível utilizar o município do estabelecimento de saúde.
dt_inicio,"ap_dtinic, dt_inicio, dt_inter",Data de início do tratamento.
dt_fim,"ap_dtfim, dt_saida, fim",Data de término do tratamento.
co_cnes_estabelecimento,"ap_coduni, cnes, cnes_exec, co_cnescon, coduni, id_unidade, pa_coduni, sp_cnes",Código do estabelecimento de saúde.
co_cidpri,"ap_cidpri, causabas, cidpri, diag_princ, pa_cidpri, sp_cidpri",Diagnóstico principal segundo Classificação Internacional de Doenças CID-10.
co_cidsec,"ap_cidsec, causabas_o, causamat, cid_asso, cidassoc, cid_morte, cid_notif, diag_sec, diagsec1, diagsec2, diagsec3, diagsec4, diagsec5, diagsec6, diagsec7, diagsec8, diagsec9, diag_secun, pa_cidsec, sp_cidsec","Diagnóstico secundário segundo Classificação Internacional de Doenças CID-10. Mais de um código pode ser apontado, devendo-se fazer tabela relacional ou campo hash."
qt_aprovada,"pa_qtdapr, qt_aprov, qt_diarias",Quantidade aprovada do procedimento.
vl_aprovado,"pa_valapr, qt_proced, val_tot, vl_aprov","Valor aprovado do procedimento. Pode vir zerado, devendo-se obter o valor de outras fontes de dados."
co_gestao,"ap_gestao, gestao, pa_gestao, uf_zi",Código do gestor (municipal ou estadual). Em geral é o código IBGE da UF (dois dígitos + 4 zeros) ou do município.
