tp_diretriz,no_diretriz,co_cid_hash,ds_publicacao,ds_url
pcdt,Hepatite C e coinfecções,B171 B182,Portaria SCTIE/MS nº 84 - 19/12/2018 (Publicada em 20/12/2018),http://conitec.gov.br/images/Protocolos/PCDT_HepatiteC_e_coinfeccoes_2018.pdf
pcdt,Profilaxia da reinfecção pelo Vírus da Hepatite B Pós-transplante Hepático,B180 B181 B160 B162,Portaria SAS/MS nº 469 – 23/07/2002 (Publicada em 24/07/2002),http://conitec.gov.br/images/Protocolos/PCDT_ProfilaxiaReinfeccaoVrusHepatite.pdf
pcdt,Hepatite B e Coinfecções,B180 B181 B181 B181 B180 B181 C22 C220 K74 K740 N18 Z940 Z941 Z943 Z944,Portaria SCTIE/MS nº 47 - 02/12/2016 (Publicada em 09/12/2016),http://conitec.gov.br/images/Protocolos/PCDT_hepatite_b_Coinfeces.pdf
pcdt,Doença de Chagas,B57 B570 B571 B572 B573 B574 B575 K231 K931,Portaria SCTIE/MS nº 57/2018 - 31/10/2018 (Publicada em 31/10/2018),http://conitec.gov.br/images/Protocolos/PCDT_Doenca_de_chagas.pdf
ddt,Câncer de Cabeça e Pescoço,C00 C01 C02 C03 C04 C05 C06 C09 C10 C11 C12 C13 C14 C32,Portaria Conjunta SAS/MS nº 516 - 17/05/2015 (Publicada em 18/06/2015),http://conitec.gov.br/images/Protocolos/DDT/DDT_CancerCabecaPescoco_2015.pdf
ddt,Carcinoma de Esôfago,C150 C151 C152 C153 C154 C155 C158 C159,Portaria Conjunta SAS/MS nº 1.439 - 16/12/2014 (Publicada em 17/12/2014),http://conitec.gov.br/images/Artigos_Publicacoes/ddt_Carcinoma-Esofago_2014.pdf
ddt,Tumor do Estroma Gastrointestinal,C150 C151 C152 C153 C154 C155 C158 C159 C160 C161 C162 C163 C164 C165 C166 C168 C169 C170 C171 C172,Portaria SAS/MS nº 494 - 18/06/2014 (Publicada em 20/06/2014),http://conitec.gov.br/images/Protocolos/DDT/Tumor_EstromaGastrointestinal.pdf
ddt,Câncer de Estômago,C160 C161 C162 C163 C164 C165 C166 C168 C169,Portaria Conjunta SAS/SCTIE nº 3 - 15/01/2018 (Publicada em 17/01/2018),http://conitec.gov.br/images/Relatorios/Portaria/2018/Portaria_Conjunta_n3_Adenocarcinoma_de_Estomago-15-01-2018.pdf
ddt,Câncer de Cólon e Reto,C18 C180 C181 C182 C183 C184 C185 C186 C187 C188 C189 C19 C20,Portaria Conjunta SAS/MS nº 958 - 26/09/2014 (Publicada em 29/09/2014),http://conitec.gov.br/images/Artigos_Publicacoes/ddt_Colorretal__26092014.pdf
ddt,Câncer de Fígado - Adultos,C220,Portaria Conjunta SAS/MS nº 602 - 26/06/2012 (Publicada em 26/06/2012),http://conitec.gov.br/images/Protocolos/DDT/Carcinoma_Figado-Adulto.pdf
ddt,Câncer de Pulmão,C34 C340 C341 C342 C343 C348 C349,Portaria Conjunta SAS/MS nº 957 - 26/09/2014 (Publicada em 29/09/2014),http://conitec.gov.br/images/Artigos_Publicacoes/ddt_CAPulmao_26092014.pdf
ddt,Melanoma Cutâneo,C43 C430 C431 C432 C433 C434 C436 C437 C438 C439 D03 D030 D031 D032 D033 D034 D035 D036 D037,Portaria SAS/MS nº 357 - 08/04/2013 (Publicada em 09/04/2013),http://conitec.gov.br/images/Protocolos/DDT/Melanoma-Maligno-Cutaneo.pdf
ddt,Carcinoma de Mama,C500 C501 C502 C503 C504 C505 C506 C508 C509,Portaria Conjunta SAS/SCTIE nº 05 - 18/04/2019 (Publicada em 29/04/2019),http://conitec.gov.br/images/Protocolos/DDT/DDT-Carcinoma-de-mama_PORTARIA-CONJUNTA-N--5.pdf
ddt,Neoplasia Maligna Epitelial de Ovário,C56 C570 C786,Portaria Conjunta SAS/SCTIE nº 01 - 07/01/2019 (Publicada em 14/01/2019),http://conitec.gov.br/images/Protocolos/DDT/DDT_NeoplasiaMalignaEpitelialdeOvario_2019.pdf
ddt,Adenocarcinoma de Próstata,C61 D75,Portaria Conjunta SAS/SCTIE nº 498 - 11/05/2016 (Publicada em 11/05/2016),http://conitec.gov.br/images/Protocolos/DDT/DDT_Adenocarcinoma_Prostata.pdf
ddt,Carcinoma de Células Renais,C64,Portaria SAS/MS nº 1.440 - 16/12/2014 (Publicada em 17/12/2014),http://conitec.gov.br/images/Artigos_Publicacoes/ddt_Carcinoma-CelRenais_2014.pdf
ddt,Tumor Cerebral - Adultos,C710 C711 C712 C713 C714 C715 C716 C717 C718 C719,Portaria Conjunta SAES/SCTIE nº 7 - 13/04/2020 (Republicada em 16/04/2020),http://conitec.gov.br/images/Protocolos/DDT-TumorCerebralAdulto.pdf
pcdt,Carcinoma Diferenciado de Tireóide,C73,Portaria SAS/MS nº 07 - 03/01/2014 (Publicada em 07/01/2014),http://conitec.gov.br/images/Protocolos/PCDT_CarcinomaTireoide.pdf
ddt,Linfoma Folicular,C820 C821 C822 C827 C829,Portaria SAS/MS nº 1.501 - 10/10/2014 (Publicada em 13/10/2014),http://conitec.gov.br/images/Artigos_Publicacoes/ddt_LinfomaFolicular_10102014.pdf
ddt,Linfoma Difuso de Grandes Células B - Adultos,C833,Portaria SAS/MS nº 956 - 26/09/2014 (Publicada em 29/09/2014),http://conitec.gov.br/images/Artigos_Publicacoes/ddt_LinfomaDifusoB_26092014.pdf
ddt,Mieloma Múltiplo,C900 C901 C902 D472,Portaria SAS/MS nº 708 - 06/08/2015 (Publicada em 07/08/2015),http://conitec.gov.br/images/Protocolos/ddt_Mieloma-Multiplo.pdf
ddt,Leucemia Linfoblástica Aguda Cromossoma Philadelphia Positivo - Adultos e Leucemia Linfoblástica Aguda Cromossoma Philadelphia Positivo - Crianças e Adolescentes,C910,Portaria SAS/MS nº 312 - 27/03/2013 (Publicada em 28/03/2013); Portaria SAS/MS nº 115 - 10/02/2012 (Publicada em 17/02/2012),http://conitec.gov.br/images/Protocolos/DDT/Tratamento_LeucemiaLinfoblasticaAguda-Adulto.pdf; http://conitec.gov.br/images/Protocolos/DDT/Tratamento_LeucemiaLinfoblasticaAguda-CriancaeAdolescente.pdf
ddt,Leucemia Mieloide Aguda - Adultos e Leucemia Mieloide Aguda - Crianças e Adolescentes,C920 C921 C923 C924 C925 C927 C930 C931 C937 C940 C942 C943,Portaria SAS/MS nº 705 - 12/08/2014 (Publicada em 13/08/2014); Portaria SAS/MS nº 840 - 08/09/2014 (Publicada em 10/09/2014),http://conitec.gov.br/images/Protocolos/DDT/LeucemiaMieloideAguda-Adulto.pdf; http://conitec.gov.br/images/Artigos_Publicacoes/ddt_LMA_CriancaseAdolescentes_10092014.pdf
ddt,Leucemia Mieloide Crônica - Adultos e Leucemia Mieloide Crônica - Crianças e Adolescentes,C921,Portaria SAS/MS nº 1.219 - 04/11/2013 (Publicada em 05/11/2013). (Retificada em 07/01/2015); Portaria SAS/MS nº 114 - 10/02/2012 (Publicada em 17/02/2012),http://conitec.gov.br/images/FichasTecnicas/PCDT_LeucemiaMieloideCr%C3%B4nicaAdulto_Retificada.pdf; http://conitec.gov.br/images/Protocolos/DDT/Tratamento_LeucemiaMieloideCronica-CriancaAdolescente.pdf
pcdt,Hemangioma Infantil,D180,Portaria Conjunta SAS/SCTIE nº 6 - 23/02/2018 (Publicada em 01/03/2018),http://conitec.gov.br/images/Protocolos/PCDT_HemangiomaInfantil.pdf
pcdt,Leimioma de útero,D250 D251 D252,Portaria Conjunta SAS/SCTIE nº 11 - 31/11/2017 (Publicada em 09/11/2017),http://conitec.gov.br/images/Protocolos/DDT/PCDT-Leiomioma_31_10_2017.pdf
pcdt,"Anemia Aplástica, Mielodisplasia e Neutropenias Constitucionais - Uso de Fatores estimulantes de Crescimento de Colônias de Neutrófilos - Neutropenia",D460 D461 D467 D610 D611 D612 D613 D618 D70 Z948,Portaria Conjunta SAS/MS nº 113 - 05/02/2016 (Publicada em 05/02/2016),http://conitec.gov.br/images/Protocolos/PCDT_Anemia_AplasticaMielodisplasiaNeutropenia-Fev2016.pdf
pcdt,Anemia por Deficiência de Ferro,D500 D508,Portaria Conjunta SAS/MS nº 1.247 - 10/11/2014 (Publicada em 11/11/2014),http://conitec.gov.br/images/Consultas/Relatorios/2014/pcdt_Anemia_DeficienciaFerro_2014.pdf
pcdt,Doença Falciforme,D570 D571 D572 D561 D568,Portaria Conjunta SAS/SCTIE nº 05 - 19/02/2018 (Publicada em 22/02/2018),http://conitec.gov.br/images/Protocolos/PCDT_DoencaFalciforme_2018.pdf
pcdt,Anemia Hemolítica Autoimune,D590 D591,Portaria Conjunta SAS/SCTIE nº 27 - 26/11/2018 (Publicada em 10/12/2018),http://conitec.gov.br/images/Protocolos/PCDT_Anemia_Hemolitica_Autoimune_2018.pdf
pcdt,Hemoglobinúria Paroxística Noturna,D595,Portaria Conjunta SAES/SCTIE nº 18 - 20/11/2019 (Publicada em 22/11/2019),http://conitec.gov.br/images/Protocolos/PCDT__HPN.pdf
pcdt,Aplasia Pura Adquirida Crônica da série vermelha,D600,Portaria Conjunta SAS/MS nº 449 - 29/04/2016 (Publicada em 02/05/2016),http://conitec.gov.br/images/Protocolos/PCDT_AplasiaPSV_29-04-2016.pdf
pcdt,Anemia Aplástica Adquirida,D611 D612 D613 D618,Portaria Conjunta SAS/MS nº 1.300 - 21/11/2013 (Publicada em 22/11/2013),https://www.saude.gov.br/images/pdf/2014/abril/02/pcdt-anemia-apl-adq-livro-2013.pdf
pcdt,Tromboembolismo Venoso em Gestantes com Trombofilia,D688 I820 I821 I822 I823 I828 O223 O225,Portaria Conjunta SAES/SCTIE nº 4 - 12/02/2020 (Publicada em 14/02/2020),http://conitec.gov.br/images/Protocolos/PCDT_TromboembolismoVenosoGestantesTrombofilia.pdf
pcdt,Púrpura Trombocitopênica Idiopática,D693,Portaria Conjunta SAS/MS nº 9 - 31/07/2019 (Publicada em 07/08/2019),http://conitec.gov.br/images/Protocolos/PCDT_PurpuraTrombocitopenicaIdiopatica.pdf
pcdt,Síndrome Hipereosinofílica com mesilato de imatinibe,D721,Portaria SAS/MS nº 783 - 29/08/2014 (Publicada em 01/09/2014),http://conitec.gov.br/images/Protocolos/Protocolo_SindromeHipereosinofilica.pdf
pcdt,Imunodeficiência Primária com predominância de defeitos de Anticorpos,D800 D801 D803 D805 D806 D807 D808 D830 D832 D838,Portaria SAS/MS nº 495 - 11/09/2007 (Publicada em 12/09/2007),http://conitec.gov.br/images/Protocolos/PCDT-ImunodeficienciaPrimaria.pdf
pcdt,Angioedema associado à deficiência de C1 esterase,D841,Portaria Conjunta SAS/MS nº 880 - 12/07/2016 (Publicada em 15/07/2016),http://conitec.gov.br/images/Protocolos/pcdt_angioedema-deficincia-C1esterase_2016.pdf
