tabulador,url
CNES - RECURSOS FÍSICOS - AMBULATÓRIO - CONSULTÓRIOS - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/consulbr.def
CNES - RECURSOS FÍSICOS - AMBULATÓRIO - LEITOS DE REPOUSO E OBSERVAÇÃO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/ambleibr.def
CNES - RECURSOS FÍSICOS - HOSPITALAR - LEITOS DE INTERNAÇÃO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/leiintbr.def
CNES - RECURSOS FÍSICOS - HOSPITALAR - LEITOS COMPLEMENTARES - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/leiutibr.def
CNES - RECURSOS FÍSICOS - HOSPITALAR - INSTALAÇÕES FÍSICAS DE OBSTETRÍCIA E NEONATOLOGIA - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/leiobsbr.def
CNES - RECURSOS FÍSICOS - URGÊNCIA - CONSULTÓRIOS - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/rurgcbr.def
CNES - RECURSOS FÍSICOS - URGÊNCIA - LEITOS DE REPOUSO / OBSERVAÇÃO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/recurgbr.def
CNES - RECURSOS FÍSICOS - EQUIPAMENTOS - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/equipobr.def
CNES - ESTABELECIMENTOS POR TIPO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/estabbr.def
CNES - ESTABELECIMENTOS POR NÍVEL DE ATENÇÃO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atencbr.def
CNES - ESTABELECIMENTOS - SERVIÇOS / CLASSIFICAÇÃO ATÉ FEVEREIRO DE 2008 - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/servclbr.def
CNES - ESTABELECIMENTOS - CLASSIFICAÇÃO DO SERVIÇO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/servc2br.def
CNES - ESTABELECIMENTOS POR HABILITAÇÃO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/habbr.def
CNES - ESTABELECIMENTOS COM TIPO DE ATENDIMENTO PRESTADO - AMBULATÓRIO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atambbr.def
CNES - ESTABELECIMENTOS COM TIPO DE ATENDIMENTO PRESTADO - INTERNAÇÃO - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atintbr.def
CNES - ESTABELECIMENTOS COM TIPO DE ATENDIMENTO PRESTADO - SADT - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atsadtbr.def
CNES - ESTABELECIMENTOS COM TIPO DE ATENDIMENTO PRESTADO - URGÊNCIA - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/aturgbr.def
CNES - ESTABELECIMENTOS COM TIPO DE ATENDIMENTO PRESTADO - VIGILÂNCIA EPIDEMIOLÓGICA E/OU SANITÁRIA - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atvigbr.def
CNES - ESTABELECIMENTOS COM TIPO DE ATENDIMENTO PRESTADO - OUTROS (FARMÁCIA OU COOPERATIVA) - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atoutbr.def
CNES - RECURSOS HUMANOS - PROFISSIONAIS - INDIVÍDUOS - SEGUNDO CBO 2002 - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/prid02br.def
CNES - RECURSOS HUMANOS - PROFISSIONAIS - INDIVÍDUOS - SEGUNDO CBO 2002 - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/prid02br.deff
CNES - RECURSOS HUMANOS - OCUPAÇÕES - SEGUNDO CBO 1994 - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/profocbr.def
CNES - RECURSOS HUMANOS - PROFISSIONAIS - INDIVÍDUOS - SEGUNDO CBO 1994 - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/profidbr.def
CNES - EQUIPES DE SAÚDE - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/equipebr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - CARACTERIZAÇÃO DOS ESTABELECIMENTOS,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsabr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - CARACTERIZAÇÃO DAS UNIDADES,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsabr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - SADT DOS ESTABELECIMENTOS,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsdbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - SADT DAS UNIDADES,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsdbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - PRODUÇÃO DE SERVIÇOS DOS ESTABELECIMENTOS,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsmbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - PRODUÇÃO DE SERVIÇOS DAS UNIDADESPESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - PRODUÇÃO DE SERVIÇOS DAS UNIDADES,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsmbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - RECURSOS HUMANOS DOS ESTABELECIMENTOS,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsrbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - RECURSOS HUMANOS DAS UNIDADES,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsrbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - EQUIPAMENTOS DOS ESTABELECIMENTOS,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsebr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - EQUIPAMENTOS DAS UNIDADES,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsebr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - CARACTERIZAÇÃO DAS UNIDADES,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsabr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - ATENDIMENTO AMBULATORIAL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsbbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - INTERNAÇÕES,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amscbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - INTERNAÇÕES - MOVIMENTO,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsmbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - SERVIÇOS DE APOIO À DIAGNOSE E TERAPIA,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsdbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - RECURSOS HUMANOS,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsrbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - BRASIL - EQUIPAMENTOS,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsebr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - 1992 - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amszbr.def
PESQUISA ASSISTÊNCIA MÉDICO-SANITÁRIA - 1981 A 1990 - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/amsobr.def
