"co_seq","co_cid","no_cid","co_capitulo","no_capitulo","ds_titulo_capitulo","co_categoria","no_categoria","ds_agrupamento","co_seq_diretriz"
994,C152,Porcao abdominal do esofago (esofago abdominal) ,2,Capitulo II,Neoplasias [tumores],C15,Neoplasia maligna do esofago,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1004,C163,Antro pilorico ,2,Capitulo II,Neoplasias [tumores],C16,Neoplasia maligna do estomago,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1061,C268,Lesao invasiva do aparelho digestivo ,2,Capitulo II,Neoplasias [tumores],C26,Neoplasia maligna de outros orgaos digestivos e de localizacoes mal definidas no aparelho digestivo,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1015,C178,Lesao invasiva do intestino delgado ,2,Capitulo II,Neoplasias [tumores],C17,Neoplasia maligna do intestino delgado,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1011,C170,Duodeno ,2,Capitulo II,Neoplasias [tumores],C17,Neoplasia maligna do intestino delgado,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1017,C18,Neoplasia maligna do colon,2,Capitulo II,Neoplasias [tumores],C18,Neoplasia maligna do colon,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
999,C159,"Esofago, nao especificado ",2,Capitulo II,Neoplasias [tumores],C15,Neoplasia maligna do esofago,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1012,C171,Jejuno ,2,Capitulo II,Neoplasias [tumores],C17,Neoplasia maligna do intestino delgado,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1163,C481,Partes especificadas do peritonio ,2,Capitulo II,Neoplasias [tumores],C48,Neoplasia maligna dos tecidos moles do retroperitonio e do peritonio,Neoplasias [tumores] malignas(os) do tecido mesotelial e tecidos moles (C45-C49),19
1009,C169,"Estomago, nao especificado ",2,Capitulo II,Neoplasias [tumores],C16,Neoplasia maligna do estomago,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
997,C155,Terco inferior do esofago ,2,Capitulo II,Neoplasias [tumores],C15,Neoplasia maligna do esofago,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
1006,C165,"Pequena curvatura do estomago, nao especificada ",2,Capitulo II,Neoplasias [tumores],C16,Neoplasia maligna do estomago,Neoplasias [tumores] malignas(os) dos orgaos digestivos (C15-C26),19
7849,Q802,Ictiose lamelar ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q80,Ictiose congenita,Outras malformacoes congenitas (Q80-Q89),75
7853,Q809,Ictiose congenita nao especificada ,17,Capitulo XVII,"Malformacoes congenitas, deformidades e anomalias cromossomicas",Q80,Ictiose congenita,Outras malformacoes congenitas (Q80-Q89),75
1087,C349,"Bronquios ou pulmoes, nao especificado ",2,Capitulo II,Neoplasias [tumores],C34,Neoplasia maligna dos bronquios e dos pulmoes,Neoplasias [tumores] malignas(os)do aparelho respiratorio e dos orgaos intratoracicos (C30-C39),24
1084,C342,"Lobo medio, bronquio ou pulmao ",2,Capitulo II,Neoplasias [tumores],C34,Neoplasia maligna dos bronquios e dos pulmoes,Neoplasias [tumores] malignas(os)do aparelho respiratorio e dos orgaos intratoracicos (C30-C39),24
1083,C341,"Lobo superior, bronquio ou pulmao ",2,Capitulo II,Neoplasias [tumores],C34,Neoplasia maligna dos bronquios e dos pulmoes,Neoplasias [tumores] malignas(os)do aparelho respiratorio e dos orgaos intratoracicos (C30-C39),24
1086,C348,Lesao invasiva dos bronquios e dos pulmoes ,2,Capitulo II,Neoplasias [tumores],C34,Neoplasia maligna dos bronquios e dos pulmoes,Neoplasias [tumores] malignas(os)do aparelho respiratorio e dos orgaos intratoracicos (C30-C39),24
1085,C343,"Lobo inferior, bronquio ou pulmao ",2,Capitulo II,Neoplasias [tumores],C34,Neoplasia maligna dos bronquios e dos pulmoes,Neoplasias [tumores] malignas(os)do aparelho respiratorio e dos orgaos intratoracicos (C30-C39),24
1907,D803,Deficiencia seletiva de subclasses de imunoglobulina G [IgG] ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D80,Imunodeficiencia com predominancia de defeitos de anticorpos,Alguns transtornos que comprometem o mecanismo imunitario (D80-D89),76
1910,D806,Deficiencia de anticorpos com imunoglobulinas proximas do normal ou com hiperimunoglobulinemia ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D80,Imunodeficiencia com predominancia de defeitos de anticorpos,Alguns transtornos que comprometem o mecanismo imunitario (D80-D89),76
1911,D807,Hipogamaglobulinemia transitoria da infancia ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D80,Imunodeficiencia com predominancia de defeitos de anticorpos,Alguns transtornos que comprometem o mecanismo imunitario (D80-D89),76
1909,D805,Imunodeficiencia com aumento de imunoglobulina M [IgM] ,3,Capitulo III,Doencas do sangue e dos orgaos hematopoeticos e alguns transtornos imunitarios,D80,Imunodeficiencia com predominancia de defeitos de anticorpos,Alguns transtornos que comprometem o mecanismo imunitario (D80-D89),76
2026,E119,Diabetes mellitus nao-insulino-dependente - sem complicacoes ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E11,Diabetes mellitus nao-insulino-dependente,Diabetes mellitus (E10-E14),30
2022,E115,Diabetes mellitus nao-insulino-dependente - com complicacoes circulatorias perifericas ,4,Capitulo IV,"Doencas endocrinas, nutricionais e metabolicas",E11,Diabetes mellitus nao-insulino-dependente,Diabetes mellitus (E10-E14),30
