"co_seq_procedimento","co_procedimento","co_grupo","co_sub_grupo","co_forma_organizacao","nu_competencia_min","nu_competencia_max","qt_registro","qt_no_procedimento","no_procedimento","tp_complexidade","tp_sexo","qt_maxima_execucao","qt_dias_permanencia","qt_pontos","vl_idade_minima","vl_idade_maxima","vl_sh","vl_sa","vl_sp","co_financiamento","co_rubrica","qt_tempo_permanencia","no_grupo","no_sub_grupo","no_forma_organizacao","sg_procedimento"
20,101020112,1,1,2,202008,202301,72,1,AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL,"1",I,"9999","9999","0","120","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde                                                                ,Saúde bucal                                                                                         ,AOCODEPR
10,101020015,1,1,2,200801,202301,525,2,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL,"1",I,"9999","9999","0","48","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde                                                                ,Saúde bucal                                                                                         ,ACCODEAP | AOCODEAP
30,101040075,1,1,4,202008,202301,72,1,MEDIÇÃO DE ALTURA,"1",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde                                                                ,Alimentação e nutrição                                                                              ,MEDEAL
25,101040024,1,1,4,200801,202301,525,2,AVALIAÇÃO ANTROPOMÉTRICA,"1",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde                                                                ,Alimentação e nutrição                                                                              ,AVAN
39,101050054,1,1,5,201702,202301,198,1,OFICINA DE MASSAGEM/ AUTO-MASSAGEM,"1",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Ações de promoção e prevenção em saúde,Ações coletivas/individuais em saúde                                                                ,Praticas Integrativas/Complementares                                                                ,OFDEMAAU
53,102010056,1,2,1,200801,202301,525,2,ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO,"0",N,"9999","9999","0","9999","9999","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","7",      ,"9999",Ações de promoção e prevenção em saúde,Vigilância em saúde                                                                                 ,Vigilancia sanitária                                                                                ,ATEDPAOS | ATEDPPRD
95,102010471,1,2,1,201007,202301,435,1,LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO,"0",N,"9999","9999","0","9999","9999","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","7",      ,"9999",Ações de promoção e prevenção em saúde,Vigilância em saúde                                                                                 ,Vigilancia sanitária                                                                                ,LISADESE
96,102010480,1,2,1,201007,202301,435,3,"FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚBLICOS OU PRIVADOS","0",N,"9999","9999","0","9999","9999","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","7",      ,"9999",Ações de promoção e prevenção em saúde,Vigilância em saúde                                                                                 ,Vigilancia sanitária                                                                                ,FIDOUSDE | INSADEAM
97,102010498,1,2,1,201007,202301,435,2,LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA SANITÁRIA,"0",N,"9999","9999","0","9999","9999","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","7",      ,"9999",Ações de promoção e prevenção em saúde,Vigilância em saúde                                                                                 ,Vigilancia sanitária                                                                                ,LADEANLA
49,102010013,1,2,1,200801,202301,90,1,APLICACAO DE  MULTA,"1",N,"9999","9999","0","9999","9999","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","1",      ,"9999",Ações de promoção e prevenção em saúde,Vigilância em saúde                                                                                 ,Vigilancia sanitária                                                                                ,APDEMU
118,201010011,2,1,1,200801,202301,175,1,AMNIOCENTESE,"2",F,"1","9999","0","108","731","2.2000000000000000","2.2000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Coleta de material                                                                                  ,Coleta de material por meio de punção/biópsia                                                       ,AM
128,201010119,2,1,1,200801,202301,175,1,BIOPSIA DE CORNEA,"2",I,"2","9999","0","0","1571","68.6200000000000000","68.6200000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Coleta de material                                                                                  ,Coleta de material por meio de punção/biópsia                                                       ,BIDECO
145,201010283,2,1,1,200801,202301,175,1,BIOPSIA DE MUSCULO (A CEU ABERTO),"2",I,"1","9999","0","0","1571","18.3300000000000000","18.3300000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Coleta de material                                                                                  ,Coleta de material por meio de punção/biópsia                                                       ,BIDEMUAC
157,201010402,2,1,1,200801,202301,175,2,BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA),"2",I,"2","1","48","0","1571","90.4200000000000000","113.6800000000000000","23.2600000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Coleta de material                                                                                  ,Coleta de material por meio de punção/biópsia                                                       ,BIDEPLPO
178,201010615,2,1,1,200801,202301,175,2,PUNÇÃO DE VAGINA,"2",F,"1","9999","0","0","1571","14.1000000000000000","14.1000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Coleta de material                                                                                  ,Coleta de material por meio de punção/biópsia                                                       ,PUDEVA
190,202010015,2,2,1,200801,202301,175,1,CLEARANCE OSMOLAR,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","3.5100000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,CLOS
201,202010120,2,2,1,200801,202301,175,1,DOSAGEM DE ACIDO URICO,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","1.8500000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,DODEACUR
213,202010244,2,2,1,200801,202301,175,1,DOSAGEM DE CATECOLAMINAS,"2",I,"9999","9999","0","0","1571","0.00000000000000000000","0.00000000000000000000","0.00000000000000000000","6",      ,"9999",Procedimentos com finalidade diagnóstica,Diagnóstico em laboratório clínico                                                                  ,Exames bioquimicos                                                                                  ,DODECA
