co_sigtap,no_sigtap,sg_procedimento
0601010019,0601010019 ADALIMUMABE (A) 40 MG INJETAVEL- SERINGA PREENCHIDA (POR TRATAMENTO MENSAL),ADALI40
0601010027,0601010027 ETANERCEPTE (A)25 MG INJETAVEL -FRASCO-AMPOLA (POR TRATAMENTO MENSAL),ETANE25
0601010035,0601010035 INFLIXIMABE (A)10 MG/ML 10 ML INJETAVEL (FRASCO-AMPOLA- POR TRATAMENTO MENSAL),INFLI10
0601010043,0601010043 INFLIXIMABE 10 MG/ML INJETAVEL (POR FRASCO-AMPOLA 10 ML),INFLI10
0601010051,0601010051 ETANERCEPTE 50MG INJETAVEL- FRASCO AMPOLA (POR TRATAMENTO MENSAL),ETANE50
0601020014,0601020014 RILUZOL 50 MG (POR COMPRIMIDO),RILUZ50
0601030010,0601030010 HIDROXIUREIA 500 MG (POR CAPSULA),HIDRO500
0601030028,0601030028 SACARATO DE HIDROXIDO FERRICO 100 MG INJETAVEL (POR FRASCO DE 5 ML),SACAR100
0601040015,0601040015 ALFAEPOETINA 1.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE1
0601040023,0601040023 ALFAEPOETINA 10.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE10
0601040031,0601040031 ALFAEPOETINA 2.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE2
0601040040,0601040040 ALFAEPOETINA 3.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE3
0601040058,0601040058 ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAE4
0601050010,0601050010 BECLOMETASONA (C) 200 MCG (POR CAPSULA INALANTE),BECLO200
0601050029,0601050029 BECLOMETASONA (C) 200 MCG PO INALANTE (POR FRASCO DE 100 DOSES),BECLO200
0601050037,0601050037 BECLOMETASONA (C) 250 MCG SPRAY (POR FRASCO DE 200 DOSES),BECLO250
0601050045,0601050045 BECLOMETASONA (C) 400 MCG (POR CAPSULA INALANTE),BECLO400
0601050053,0601050053 BECLOMETASONA (C) 400 MCG PO INALANTE (POR FRASCO DE 100 DOSES),BECLO400
